algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
vdn,0,1601083,19.968847,1.395478,19.968847,1.395478,19.968847,1.395478,19.968847,1.395478,19.968847,1.395478,0.05,0.853888213634491,18.07,0.96,56.72,99.844246,0.190262859952636,4.271428,0.1959591794226542,10.852723160571268,6.9773903,0.0359857972717495,27428
vdn,0,1651111,19.771078,1.5410519,19.771078,1.5410519,19.771078,1.5410519,19.771078,1.5410519,19.771078,1.5410519,0.05,0.8216157555580139,18.07,0.95,51.25,98.8554,0.1745696200308157,4.057721,0.2179449471770337,14.798901986296146,7.70526,0.0372620246731203,28340
vdn,0,1701154,19.855392,1.1626421,19.855392,1.1626421,19.855392,1.1626421,19.855392,1.1626421,19.855392,1.1626421,0.05,0.7059734463691711,16.58,0.97,50.97,99.27697,0.1688805116555886,4.082107,0.1705872210923198,9.270873745230274,5.8132105,0.0267429584859152,29295
vdn,0,1751186,19.705442,1.3401175,19.705442,1.3401175,19.705442,1.3401175,19.705442,1.3401175,19.705442,1.3401175,0.05,0.9968491792678832,14.96,0.95,48.21,98.52721,0.1727823729178635,3.6876006,0.2179449471770337,6.093102657923957,6.7005873,0.0283581319952692,30279
vdn,0,1801195,19.866371,1.070129,19.866371,1.070129,19.866371,1.070129,19.866371,1.070129,19.866371,1.070129,0.05,0.8332322835922241,18.36,0.98,43.08,99.33186,0.1513928841508459,3.7189245,0.1399999999999999,4.683332147093562,5.3506436,0.0183783395537338,31291
vdn,0,1851196,19.783726,1.4539438,19.783726,1.4539438,19.783726,1.4539438,19.783726,1.4539438,19.783726,1.4539438,0.05,0.7121042609214783,16.85,0.97,48.08,98.91863,0.1711645824828883,3.8350358,0.1705872210923198,8.702505386381555,7.2697196,0.02876697977175,32317
vdn,0,1901231,19.693382,1.8718408,19.693382,1.8718408,19.693382,1.8718408,19.693382,1.8718408,19.693382,1.8718408,0.05,0.7354326248168945,18.49,0.96,48.59,98.46691,0.1605516012810403,3.8948553,0.1959591794226542,9.0720394619953,9.359204,0.0270744970732324,33298
vdn,0,1951262,19.939976,0.9681211,19.939976,0.9681211,19.939976,0.9681211,19.939976,0.9681211,19.939976,0.9681211,0.05,0.7495751976966858,18.24,0.98,48.01,99.69988,0.1506282733543776,3.6908534,0.1399999999999999,9.30644400402216,4.840606,0.0236885095421474,34314
vdn,1,50027,10.768042,1.168108,10.768042,1.168108,10.768042,1.168108,10.768042,1.168108,10.768042,1.168108,0.76237175,2.4719409942626958,5.0,0.0,39.48,53.840206,0.1029736516810953,0.0,0.0,4.650763378199326,5.8405395,0.010125088082596,1170
vdn,1,100028,12.428409,1.4932272,12.428409,1.4932272,12.428409,1.4932272,12.428409,1.4932272,12.428409,1.4932272,0.524867,4.444986343383789,5.14,0.0,48.1,62.142033,0.1618247921095462,0.84876376,0.0,29.013272824691803,7.466136,0.0837779075214294,2487
vdn,1,150119,12.1138735,2.222026,12.1138735,2.222026,12.1138735,2.222026,12.1138735,2.222026,12.1138735,2.222026,0.2869347499999999,3.801728248596192,6.2,0.02,89.42,60.56936,0.2468450541445054,2.6720781,0.1399999999999999,47.55379690413795,11.11013,0.1115089876735039,3533
vdn,1,200127,11.57451,1.7853004,11.57451,1.7853004,11.57451,1.7853004,11.57451,1.7853004,11.57451,1.7853004,0.05,3.5894153118133545,5.26,0.01,50.46,57.872547,0.1557442975096637,1.2134249,0.0994987437106619,26.96976826003516,8.926501,0.0689183813406905,4369
vdn,1,250276,11.66125,2.2313786,11.66125,2.2313786,11.66125,2.2313786,11.66125,2.2313786,11.66125,2.2313786,0.05,3.2261838912963867,6.05,0.04,81.23,58.306244,0.2200334162212675,2.9098969,0.1959591794226542,41.70392187792415,11.156892,0.0975064792925295,5154
vdn,1,300283,15.290881,3.4881287,15.290881,3.4881287,15.290881,3.4881287,15.290881,3.4881287,15.290881,3.4881287,0.05,3.7607791423797607,6.84,0.31,58.1,76.45441,0.1728013467101846,2.8695645,0.462493243193887,20.94063036300484,17.440643,0.0515310124000371,5929
vdn,1,350284,17.37022,3.0749738,17.37022,3.0749738,17.37022,3.0749738,17.37022,3.0749738,17.37022,3.0749738,0.05,3.0626566410064697,9.44,0.54,54.13,86.8511,0.1611404887476237,4.5217695,0.4983974317750844,15.31643235221571,15.37487,0.0380735111931623,6607
vdn,1,400335,13.204828,2.661796,13.204828,2.661796,13.204828,2.661796,13.204828,2.661796,13.204828,2.661796,0.05,4.650691509246826,6.1,0.07,79.32,66.02414,0.2279767954733688,3.4655442,0.2551470164434615,31.919862155090836,13.30898,0.074926646024581,7219
vdn,1,450354,15.354312,2.8170357,15.354312,2.8170357,15.354312,2.8170357,15.354312,2.8170357,15.354312,2.8170357,0.05,3.862243175506592,6.7,0.23,54.48,76.77156,0.1595955366920679,3.5846896,0.4208325082500163,19.528174517860087,14.085179,0.0505934043677449,7895
vdn,1,500381,15.694067,3.5191772,15.694067,3.5191772,15.694067,3.5191772,15.694067,3.5191772,15.694067,3.5191772,0.05,5.23183536529541,7.6,0.3,91.75,78.470345,0.2670913179049967,4.1880784,0.4582575694955839,22.966225201369078,17.595886,0.057967892502211,8534
vdn,1,550406,12.851738,5.088777,12.851738,5.088777,12.851738,5.088777,12.851738,5.088777,12.851738,5.088777,0.05,3.7448997497558594,13.68,0.26,108.91,64.2587,0.3353292279294692,6.0114555,0.4386342439892262,42.59884857598853,25.443884,0.124892827588711,9154
vdn,1,600450,15.885564,3.3627913,15.885564,3.3627913,15.885564,3.3627913,15.885564,3.3627913,15.885564,3.3627913,0.05,4.6726250648498535,8.08,0.34,64.84,79.42782,0.2026060671481536,4.828416,0.4737087712930805,19.544165369746544,16.813957,0.0489960177153034,9860
vdn,1,650497,17.087744,3.0520382,17.087744,3.0520382,17.087744,3.0520382,17.087744,3.0520382,17.087744,3.0520382,0.05,3.121215581893921,9.63,0.49,59.24,85.43872,0.1848003954120213,5.358461,0.4998999899979994,16.41165439558121,15.26019,0.0428604288242345,10659
vdn,1,700532,17.91728,3.284493,17.91728,3.284493,17.91728,3.284493,17.91728,3.284493,17.91728,3.284493,0.05,4.63495397567749,11.51,0.65,58.17,89.58639,0.178062184191076,5.1039104,0.4769696007084728,19.07461926225528,16.422464,0.0454880311213622,11483
