algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,0,3801296,16.907621,4.330221,16.907621,4.330221,0.05,2.094191312789917,4.52,0.63,31.45,33.815243,0.0577721279632532,1.9312172,0.4828043081829324,0.5722761571129799,8.660442,0.002397574095235,88260
idqn,0,3901298,17.339466,4.2068033,17.339466,4.2068033,0.05,2.0640463829040527,4.72,0.68,31.11,34.678932,0.0564878415805287,1.8659047,0.466476151587624,0.9369631796394136,8.413607,0.0022259672719329,91436
idqn,1,100010,9.838432,0.3956425,9.838432,0.3956425,0.7624762500000001,19.64437294006348,2.0,0.0,32.04,19.676865,0.0552347587497206,0.0,0.0,0.1959591794226542,0.791285,0.0026144475423046,2356
idqn,1,200040,9.631374,1.4884615,9.631374,1.4884615,0.524905,26.805694580078125,2.14,0.0,35.58,19.262749,0.0621730837889481,0.87200916,0.0,20.123210479443884,2.976923,0.0402998006850958,4749
idqn,1,300187,0.08156863,0.81159765,0.08156863,0.81159765,0.287055875,34.32451248168945,9.24,0.0,148.82,0.16313726,0.3053805808391189,0.9393615,0.0,11.74085175785812,1.6231953,0.0255029388440853,5855
idqn,1,400195,5.4839215,3.7716227,5.4839215,3.7716227,0.05,37.10466384887695,4.29,0.0,75.74,10.967843,0.1521907187608303,3.3802218,0.0,51.005415398759375,7.5432453,0.1095553435217073,6605
idqn,1,500195,7.4290204,1.929287,7.4290204,1.929287,0.05,28.157472610473636,2.26,0.0,54.18,14.858041,0.1078708720294525,1.1629273,0.0,23.632342245321347,3.858574,0.0517982729016317,7867
idqn,1,600196,9.926275,0.419783,9.926275,0.419783,0.05,13.778230667114258,2.02,0.0,33.26,19.85255,0.0629605695145437,0.19899751,0.0,11.735944785146192,0.839566,0.0228909112414257,10146
idqn,1,700220,10.672939,0.48191342,10.672939,0.48191342,0.05,10.331904411315918,2.87,0.0,79.23,21.345879,0.1504580870119389,1.1194195,0.0,57.783709642078186,0.96382684,0.1101086383675005,12656
idqn,1,800335,10.453333,0.39901143,10.453333,0.39901143,0.05,4.262622356414795,3.69,0.0,110.91,20.906666,0.2147101011668565,1.30916,0.0,55.39983664235843,0.79802287,0.1088334685473443,13763
idqn,1,900392,10.516077,0.56901187,10.516077,0.56901187,0.05,2.910863876342773,4.47,0.0,111.38,21.032154,0.2236525195941794,1.8571752,0.0,54.62175024658218,1.1380237,0.1107775620425697,14982
idqn,1,1000398,15.167048,4.910816,15.167048,4.910816,0.05,2.741405487060547,3.88,0.47,33.02,30.334097,0.0622906387213151,1.9963968,0.4990991885387111,11.61204547011421,9.821632,0.0222008922218814,16525
idqn,1,1100406,12.000498,2.566271,12.000498,2.566271,0.05,4.644822120666504,2.32,0.08,34.18,24.000996,0.0650662337994435,1.0851729,0.2712931993250107,9.636783695818847,5.132542,0.0194231419761234,19421
idqn,1,1200427,16.405182,4.5988607,16.405182,4.5988607,0.05,5.291757583618164,4.36,0.59,32.04,32.810364,0.0607804237969685,1.9673332,0.4918333050943174,6.899159369082583,9.1977215,0.0147811664550925,22224
idqn,1,1300446,15.575819,5.045615,15.575819,5.045615,0.05,11.204185485839844,4.12,0.53,31.26,31.151638,0.0605369849904673,1.9963967,0.4990991885387111,1.361029022467927,10.09123,0.0049837704357662,25282
idqn,1,1400447,14.619323,5.076166,14.619323,5.076166,0.05,9.188468933105469,3.84,0.44,56.16,29.238646,0.1081348795187659,1.9935896,0.4963869458396343,44.0090263468757,10.152332,0.0855706965984195,27136
idqn,1,1500456,14.780447,4.9601016,14.780447,4.9601016,0.05,4.954010009765625,3.78,0.44,35.82,29.560894,0.0686583999701542,1.9777764,0.4963869458396343,20.21602334782981,9.920203,0.03981402253452,29399
