algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,2,100014,0.080535725,0.119380064,0.053928573,0.1011226,0.76246675,1.8533387184143064,50.0,0.1344643,0.0087628188019152,0.0,0.14228332,0.0021885860058593,1974
idqn,2,200055,0.059702378,0.12289859,0.050178576,0.09214339,0.524869375,1.6984931230545044,50.0,0.10988095,0.007770883248304,0.0,0.17450981,0.00015881615793,4019
idqn,2,300066,0.09698413,0.11622327,0.068809524,0.12685116,0.28734325,1.8242906332015991,50.0,0.16579366,0.0083059646509354,0.0,0.22791435,0.001749394916358,6086
idqn,2,400105,0.13273808,0.19533513,0.10694444,0.15497786,0.05,1.204393744468689,49.15,0.23968256,0.0088331020990153,3.705064102009573,0.2695768,0.0019376462490814,8132
idqn,2,500106,0.08345239,0.14820443,0.111666664,0.23834498,0.05,1.7610971927642822,47.9,0.19511905,0.0091097144555533,6.37102817447859,0.3074477,0.0026629598799979,10167
idqn,2,600109,0.05595238,0.11597829,0.06011905,0.12125775,0.05,1.1220704317092896,50.0,0.116071425,0.0093182894925121,0.0,0.22762313,0.0031125086317545,12203
idqn,2,700113,0.120000005,0.21412614,0.0375,0.1192424,0.05,1.1654789447784424,48.15,0.1575,0.009573066610028,6.46741834119303,0.30792654,0.0027435284801665,14263
idqn,2,800145,0.09261905,0.15376031,0.07833333,0.13417444,0.05,1.2907814979553225,50.0,0.17095238,0.0099176041927421,0.0,0.18271478,0.0033778833938444,16339
idqn,2,900193,0.085714296,0.15231211,0.09821428,0.22808963,0.05,0.8530558943748474,49.2,0.18392858,0.0122170395537978,3.487119154832538,0.26311395,0.0034146512173575,18438
idqn,2,1000213,0.066269845,0.13142112,0.10303571,0.16239311,0.05,2.042715549468994,47.95,0.16930556,0.010114572852035,8.935742834258381,0.26823685,0.0034968834339019,20537
